ATYPIDAE,Atypus,affinis,Eichwald, 1830 E S W RI NS 
LINYPHIIDAE,Scotinotylus,evansi,(O. P.-Cambridge, 1894) E S NS 
LINYPHIIDAE,Typhochrestus,digitatus,(O. P.-Cambridge, 1872) 
LINYPHIIDAE,Typhochrestus,simoni,Lessert, 1907 E W NR CE 
LINYPHIIDAE,Diplocentria,bidentata,(Emerton, 1882) E S W RI NS 
LINYPHIIDAE,Wabasso,replicatus,(Holm, 1950) Not present S NR V 
LINYPHIIDAE,Erigone,dentipalpis,(Wider, 1834) E S W NI RI 
LINYPHIIDAE,Erigone,atra,Blackwall, 1833 E S W NI RI 
LINYPHIIDAE,Erigone,promiscua,(O. P.-Cambridge, 1872) E S W NI RI 
LINYPHIIDAE,Erigone,arctica,(White, 1852) E S W NI RI 
LINYPHIIDAE,Erigone,longipalpis,(Sundevall, 1830) E S W NI RI 
LINYPHIIDAE,Erigone,tirolensis,L. Koch, 1872 S NS 
LINYPHIIDAE,Erigone,dentigera,O.P. Pickard-Cambridge, 1874 Erigone capra Erigone capra E S W RI NR 
LINYPHIIDAE,Erigone,welchi,Jackson, 1911 E S W RI NR E 
LINYPHIIDAE,Erigone,psychrophila,Thorell, 1871 E S NR NT 
LINYPHIIDAE,Erigone,aletris,Crosby & Bishop, 1928 E S 
LINYPHIIDAE,Prinerigone,vagans,(Audouin, 1826) Erigone vagans E S W 
LINYPHIIDAE,Mermessus,trilobatus,(Emerton, 1882) Not present E 
LINYPHIIDAE,Mecynargus,morulus,(O. P.-Cambridge, 1873) Rhaebothorax morulus E S W NI RI NS 
LINYPHIIDAE,Mecynargus,paetulus,(O. P.-Cambridge, 1875) Rhaebothorax paetulus S NR V 
LINYPHIIDAE,Semljicola,faustus,(O. P.-Cambridge, 1900) Latithorax faustus Latithorax faustus E S W NI RI NS 
LINYPHIIDAE,Semljicola,caliginosus,(Falconer, 1910) E S NR E 
LINYPHIIDAE,Donacochara,speciosa,(Thorell, 1875) E NI RI NS 
LINYPHIIDAE,Leptorhoptrum,robustum,(Westring, 1851) E S W NI RI 
LINYPHIIDAE,Drepanotylus,uncatus,(O. P.-Cambridge, 1873) E S W NI RI 
LINYPHIIDAE,Leptothrix,hardyi,(Blackwall, 1850) E S W NI RI NS 
LINYPHIIDAE,Hilaira,excisa,(O. P.-Cambridge, 1871) E S W NI RI 
LINYPHIIDAE,Hilaira,nubigena,Hull, 1911 E S NR V 
LINYPHIIDAE,Hilaira,pervicax,Hull, 1908 E S W NI NS 
LINYPHIIDAE,Oreoneta,frigida,(Thorell, 1872) Hilaira frigida Hilaira frigida E S W NI RI 
LINYPHIIDAE,Halorates,reprobus,(O. P.-Cambridge, 1879) E S W NI RI NS 
LINYPHIIDAE,Collinsia,inerrans,(O. P.-Cambridge, 1885) Milleriana inerrans Milleriana inerrans E S W RI 
LINYPHIIDAE,Collinsia,distincta,(Simon, 1884) Halorates distinctus Halorates distinctus E S W NS 
LINYPHIIDAE,Collinsia,holmgreni,(Thorell, 1871) Halorates holmgreni Halorates holmgreni S NS 
LINYPHIIDAE,Carorita,limnaea,(Crosby & Bishop, 1927) 
LINYPHIIDAE,Karita,paludosa,(Duffey, 1971) Carorita paludosa E NI RI NR V 
LINYPHIIDAE,Wiehlea,calcarifera,(Simon, 1884) E NR E 
LINYPHIIDAE,Mioxena,blanda,(Simon, 1884) E W RI NR DD 
LINYPHIIDAE,Caviphantes,saxetorum,(Hull, 1916) E S W NR NT 
LINYPHIIDAE,Asthenargus,paganus,(Simon, 1884) E S W NI RI NS 
LINYPHIIDAE,Jacksonella,falconeri,(Jackson, 1908) E S W NI RI NS 
LINYPHIIDAE,Pseudomaro,aenigmaticus,Denis, 1966 E NR DD 
LINYPHIIDAE,Ostearius,melanopygius,(O. P.-Cambridge, 1879) E S W NI RI 
LINYPHIIDAE,Aphileta,misera,(O. P.-Cambridge, 1882) E S W NI RI 
LINYPHIIDAE,Porrhomma,pygmaeum,(Blackwall, 1834) E S W NI RI 
LINYPHIIDAE,Porrhomma,convexum,(Westring, 1851) E S W NI RI NS 
LINYPHIIDAE,Porrhomma,rosenhaueri,(L. Koch, 1872) W RI NR NT 
LINYPHIIDAE,Porrhomma,pallidum,Jackson, 1913 E S W NI RI 
LINYPHIIDAE,Porrhomma,campbelli,F. O. P.-Cambridge, 1894 E S W NI RI NS 
LINYPHIIDAE,Porrhomma,microphthalmum,(O. P.-Cambridge, 1871) E S W 
LINYPHIIDAE,Porrhomma,errans,(Blackwall, 1841) E S W RI NS 
LINYPHIIDAE,Porrhomma,egeria,Simon, 1884 E S W RI NS 
LINYPHIIDAE,Porrhomma,oblitum,(O. P.-Cambridge, 1871) E W RI NS 
LINYPHIIDAE,Porrhomma,cambridgei,Merrett, 1994 Not present E NR DD 
LINYPHIIDAE,Porrhomma,montanum,Jackson, 1913 E S W NI RI NS 
LINYPHIIDAE,Agyneta,subtilis,(O. P.-Cambridge, 1863) E S W NI RI 
LINYPHIIDAE,Agyneta,conigera,(O. P.-Cambridge, 1863) E S W NI RI 
LINYPHIIDAE,Agyneta,decora,(O. P.-Cambridge, 1871) E S W NI RI 
LINYPHIIDAE,Agyneta,cauta,(O. P.-Cambridge, 1902) E S W NI RI NS 
LINYPHIIDAE,Agyneta,olivacea,(Emerton, 1882) E S W NI RI NS 
LINYPHIIDAE,Agyneta,ramosa,Jackson, 1912 E S W RI 
LINYPHIIDAE,Agyneta,innotabilis,(O. P.-Cambridge, 1863) Meioneta innotabilis Meioneta innotabilis E S W NI RI 
LINYPHIIDAE,Agyneta,rurestris,(C. L. Koch, 1836) Meioneta rurestris Meioneta rurestris E S W NI RI 
LINYPHIIDAE,Agyneta,mollis,(O. P.-Cambridge, 1871) Meioneta mollis Meioneta mollis E W NI RI NR NT 
LINYPHIIDAE,Agyneta,saxatilis,(Blackwall, 1844) Meioneta saxatilis Meioneta saxatilis E S W NI RI 
LINYPHIIDAE,Agyneta,mossica,(Schikora, 1993) Meioneta mossica Not present E S W NI RI NS 
LINYPHIIDAE,Agyneta,simplicitarsis,(Simon, 1884) Meioneta simplicitarsis Meioneta simplicitarsis 
LINYPHIIDAE,Agyneta,affinis,(Kulczyñski, 1898) Meioneta beata Meioneta beata E S W NI RI 
LINYPHIIDAE,Agyneta,fuscipalpa,(C. L. Koch, 1836) Meioneta fuscipalpa Not present E NR V 
LINYPHIIDAE,Agyneta,gulosa,(L. Koch, 1869) Meioneta gulosa Meioneta gulosa E S W NI RI NS 
LINYPHIIDAE,Agyneta,nigripes,(Simon, 1884) Meioneta nigripes Meioneta nigripes S W NS 
LINYPHIIDAE,Microneta,viaria,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Maro,minutus,O. P.-Cambridge, 1906 E S W RI NS 
LINYPHIIDAE,Maro,sublestus,Falconer, 1915 E S RI NR E 
LINYPHIIDAE,Maro,lepidus,Casemir, 1961 E S W NR E 
LINYPHIIDAE,Syedra,gracilis,(Menge, 1869) E S NS 
LINYPHIIDAE,Syedra,myrmicarum,(Kulczyñski, 1882) Not present Not present E 
LINYPHIIDAE,Centromerus,sylvaticus,(Blackwall, 1841) E S W NI RI 
LINYPHIIDAE,Centromerus,prudens,(O. P.-Cambridge, 1873) E S W NI RI 
LINYPHIIDAE,Centromerus,arcanus,(O. P.-Cambridge, 1873) E S W NI RI 
LINYPHIIDAE,Centromerus,levitarsis,(Simon, 1884) E S RI NR E 
LINYPHIIDAE,Centromerus,dilutus,(O. P.-Cambridge, 1875) E S W NI RI 
LINYPHIIDAE,Centromerus,capucinus,(Simon, 1884) E NR NT 
LINYPHIIDAE,Centromerus,incilium,(L. Koch, 1881) E S NS 
LINYPHIIDAE,Centromerus,semiater,(L. Koch, 1879) E NR E 
LINYPHIIDAE,Centromerus,brevipalpus,(Menge, 1866) Centromerus brevivulvatus Centromerus aequalis E S NR E 
LINYPHIIDAE,Centromerus,serratus,(O. P.-Cambridge, 1875) E NR E 
LINYPHIIDAE,Centromerus,albidus,Simon, 1929 E RI NR CE 
LINYPHIIDAE,Centromerus,cavernarum,(L. Koch, 1872) E NR NT 
LINYPHIIDAE,Centromerus,persimilis,(O. P.-Cambridge, 1912) E RI NR DD 
LINYPHIIDAE,Centromerus,minutissimus,Merrett & Powell, 1993 Not present E NR DD 
LINYPHIIDAE,Tallusia,experta,(O. P.-Cambridge, 1871) E S W NI RI 
LINYPHIIDAE,Centromerita,bicolor,(Blackwall, 1833) E S W NI RI 
LINYPHIIDAE,Centromerita,concinna,(Thorell, 1875) E S W NI RI 
LINYPHIIDAE,Sintula,corniger,(Blackwall, 1856) E S W NI RI NS 
LINYPHIIDAE,Oreonetides,vaginatus,(Thorell, 1872) E S W RI NS 
